Gene ID,Mapped IDs,Gene name symbol ID,family,protein class,species
HUMAN|HGNC=16878|UniProtKB=P42694,HELZ,Probable helicase with zinc finger domain;HELZ;PTN002474770;orthologs,HELICASE WITH ZINC FINGER DOMAIN-RELATED (PTHR10887:SF365),RNA helicase(PC00032),Homo sapiens
HUMAN|HGNC=16219|UniProtKB=Q8TEA8,DTD1,D-aminoacyl-tRNA deacylase 1;DTD1;PTN002470925;orthologs,D-AMINOACYL-TRNA DEACYLASE 1 (PTHR10472:SF5),esterase(PC00097),Homo sapiens
HUMAN|HGNC=9802|UniProtKB=P15153,RAC2,Ras-related C3 botulinum toxin substrate 2;RAC2;PTN002514693;orthologs,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 (PTHR24072:SF169),small GTPase(PC00208),Homo sapiens
HUMAN|HGNC=3390|UniProtKB=Q15375,EPHA7,Ephrin type-A receptor 7;EPHA7;PTN002521349;orthologs,EPHRIN TYPE-A RECEPTOR 7 (PTHR46877:SF9),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=30700|UniProtKB=Q63HK5,TSHZ3,Teashirt homolog 3;TSHZ3;PTN002488357;orthologs,TEASHIRT HOMOLOG 3 (PTHR12487:SF5),zinc finger transcription factor(PC00244),Homo sapiens
HUMAN|HGNC=5995|UniProtKB=Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein;IL1RAP;PTN002484225;orthologs,INTERLEUKIN-1 RECEPTOR ACCESSORY PROTEIN (PTHR11890:SF20),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=250|UniProtKB=P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B;ADH1B;PTN002536712;orthologs,ALL-TRANS-RETINOL DEHYDROGENASE [NAD(+)] ADH1B (PTHR43880:SF11),dehydrogenase(PC00092),Homo sapiens
HUMAN|HGNC=4586|UniProtKB=Q13224,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B;GRIN2B;PTN002540152;orthologs","GLUTAMATE RECEPTOR IONOTROPIC, NMDA 2B (PTHR18966:SF382)",transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=17941|UniProtKB=Q9P121,NTM,Neurotrimin;NTM;PTN002533634;orthologs,NEUROTRIMIN (PTHR42757:SF9),immunoglobulin(PC00123),Homo sapiens
HUMAN|HGNC=21389|UniProtKB=Q6MZW2,FSTL4,Follistatin-related protein 4;FSTL4;PTN002475020;orthologs,FOLLISTATIN-RELATED PROTEIN 4 (PTHR10913:SF9),protease inhibitor(PC00191),Homo sapiens
HUMAN|HGNC=12593|UniProtKB=P22415,USF1,Upstream stimulatory factor 1;USF1;PTN002488832;orthologs,UPSTREAM STIMULATORY FACTOR 1 (PTHR46117:SF1),basic helix-loop-helix transcription factor(PC00055),Homo sapiens
HUMAN|HGNC=20862|UniProtKB=Q9C0K1,SLC39A8,Metal cation symporter ZIP8;SLC39A8;PTN002486617;orthologs,METAL CATION SYMPORTER ZIP8 (PTHR12191:SF2),secondary carrier transporter(PC00258),Homo sapiens
HUMAN|HGNC=13811|UniProtKB=Q6U841,SLC4A10,Sodium-driven chloride bicarbonate exchanger;SLC4A10;PTN002479120;orthologs,SODIUM-DRIVEN CHLORIDE BICARBONATE EXCHANGER (PTHR11453:SF32),secondary carrier transporter(PC00258),Homo sapiens
HUMAN|HGNC=25216|UniProtKB=Q9NUQ9,FAM49B,CYFIP-related Rac1 interactor B;CYRIB;PTN002488131;orthologs,CYFIP-RELATED RAC1 INTERACTOR B (PTHR12422:SF3),,Homo sapiens
HUMAN|HGNC=20066|UniProtKB=Q70CQ2,USP34,Ubiquitin carboxyl-terminal hydrolase 34;USP34;PTN002550770;orthologs,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 34 (PTHR24006:SF827),cysteine protease(PC00081),Homo sapiens
HUMAN|HGNC=238|UniProtKB=P51828,ADCY7,Adenylate cyclase type 7;ADCY7;PTN002484526;orthologs,ADENYLATE CYCLASE TYPE 7 (PTHR45627:SF9),adenylate cyclase(PC00043),Homo sapiens
HUMAN|HGNC=10000|UniProtKB=P49798,RGS4,Regulator of G-protein signaling 4;RGS4;PTN002474423;orthologs,REGULATOR OF G-PROTEIN SIGNALING 4 (PTHR10845:SF184),GTPase-activating protein(PC00257),Homo sapiens
HUMAN|HGNC=21298|UniProtKB=Q86V21,AACS,Acetoacetyl-CoA synthetase;AACS;PTN002534105;orthologs,ACETOACETYL-COA SYNTHETASE (PTHR42921:SF1),ligase(PC00142),Homo sapiens
HUMAN|HGNC=814|UniProtKB=P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1;ATP2B1;PTN002515593;orthologs,PLASMA MEMBRANE CALCIUM-TRANSPORTING ATPASE 1 (PTHR24093:SF245),primary active transporter(PC00068),Homo sapiens
HUMAN|HGNC=11630|UniProtKB=P35680,HNF1B,Hepatocyte nuclear factor 1-beta;HNF1B;PTN002480376;orthologs,HEPATOCYTE NUCLEAR FACTOR 1-BETA (PTHR11568:SF2),homeodomain transcription factor(PC00119),Homo sapiens
HUMAN|HGNC=3037|UniProtKB=Q14574,DSC3,Desmocollin-3;DSC3;PTN002513171;orthologs,DESMOCOLLIN-3 (PTHR24025:SF12),cadherin(PC00057),Homo sapiens
HUMAN|HGNC=4597|UniProtKB=P41594,GRM5,Metabotropic glutamate receptor 5;GRM5;PTN002514248;orthologs,METABOTROPIC GLUTAMATE RECEPTOR 5 (PTHR24060:SF30),G-protein coupled receptor(PC00021),Homo sapiens
HUMAN|HGNC=21711|UniProtKB=Q7Z570,ZNF804A,Zinc finger protein 804A;ZNF804A;PTN002497843;orthologs,ZINC FINGER PROTEIN 804A (PTHR17614:SF13),,Homo sapiens
HUMAN|HGNC=24678|UniProtKB=Q9C0B1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO;FTO;PTN002526069;orthologs,ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE FTO (PTHR31291:SF2),oxygenase(PC00177),Homo sapiens
HUMAN|HGNC=28451|UniProtKB=Q6UXF1,TMEM108,Transmembrane protein 108;TMEM108;PTN002524075;orthologs,TRANSMEMBRANE PROTEIN 108 (PTHR28673:SF1),,Homo sapiens
HUMAN|HGNC=14685|UniProtKB=Q9Y624,F11R,Junctional adhesion molecule A;F11R;PTN002554302;orthologs,JUNCTIONAL ADHESION MOLECULE A (PTHR45113:SF1),cell adhesion molecule(PC00069),Homo sapiens
HUMAN|HGNC=20653|UniProtKB=Q8IVB4,SLC9A9,Sodium_hydrogen exchanger 9;SLC9A9;PTN002468084;orthologs,SODIUM_HYDROGEN EXCHANGER 9 (PTHR10110:SF61),secondary carrier transporter(PC00258),Homo sapiens
HUMAN|HGNC=6182|UniProtKB=Q14573,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3;ITPR3;PTN002492399;orthologs","INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 3 (PTHR13715:SF51)",ligand-gated ion channel(PC00141),Homo sapiens
HUMAN|HGNC=17095|UniProtKB=Q15031,LARS2,"Leucine--tRNA ligase, mitochondrial;LARS2;PTN002536299;orthologs","LEUCINE--TRNA LIGASE, MITOCHONDRIAL (PTHR43740:SF2)",aminoacyl-tRNA synthetase(PC00047),Homo sapiens
HUMAN|HGNC=14101|UniProtKB=Q9UIV1,CNOT7,CCR4-NOT transcription complex subunit 7;CNOT7;PTN002473813;orthologs,CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 7 (PTHR10797:SF79),mRNA polyadenylation factor(PC00146),Homo sapiens
HUMAN|HGNC=19650|UniProtKB=O43529,CHST10,Carbohydrate sulfotransferase 10;CHST10;PTN002486376;orthologs,CARBOHYDRATE SULFOTRANSFERASE 10 (PTHR12137:SF2),transferase(PC00220),Homo sapiens
HUMAN|HGNC=10434|UniProtKB=O75582,RPS6KA5,Ribosomal protein S6 kinase alpha-5;RPS6KA5;PTN002519332;orthologs,RIBOSOMAL PROTEIN S6 KINASE ALPHA-5 (PTHR24351:SF115),protein modifying enzyme(PC00260),Homo sapiens
HUMAN|HGNC=21580|UniProtKB=Q5VV43,KIAA0319,Dyslexia-associated protein KIAA0319;KIAA0319;PTN002467840;orthologs,DYSLEXIA-ASSOCIATED PROTEIN KIAA0319 (PTHR46182:SF1),,Homo sapiens
HUMAN|HGNC=3036|UniProtKB=Q02487,DSC3,Desmocollin-2;DSC2;PTN002513172;orthologs,DESMOCOLLIN-2 (PTHR24025:SF0),cadherin(PC00057),Homo sapiens
HUMAN|HGNC=28027|UniProtKB=O95876,WDPCP,WD repeat-containing and planar cell polarity effector protein fritz homolog;WDPCP;PTN002491961;orthologs,WD REPEAT-CONTAINING AND PLANAR CELL POLARITY EFFECTOR PROTEIN FRITZ HOMOLOG (PTHR13667:SF5),,Homo sapiens
HUMAN|HGNC=18825|UniProtKB=Q86VE9,SERINC5,Serine incorporator 5;SERINC5;PTN002470510;orthologs,SERINE INCORPORATOR 5 (PTHR10383:SF16),protein-binding activity modulator(PC00095),Homo sapiens
HUMAN|HGNC=77|UniProtKB=P42684,ABL2,Tyrosine-protein kinase ABL2;ABL2;PTN002521523;orthologs,TYROSINE-PROTEIN KINASE ABL2 (PTHR24418:SF87),non-receptor tyrosine protein kinase(PC00168),Homo sapiens
HUMAN|HGNC=21207|UniProtKB=Q7L985,LINGO2,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2;LINGO2;PTN002519865;orthologs,LEUCINE-RICH REPEAT AND IMMUNOGLOBULIN-LIKE DOMAIN-CONTAINING NOGO RECEPTOR-INTERACTING PROTEIN 2 (PTHR24373:SF38),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=13490|UniProtKB=Q9Y4E6,WDR7,WD repeat-containing protein 7;WDR7;PTN002543381;orthologs,WD REPEAT-CONTAINING PROTEIN 7 (PTHR44099:SF3),,Homo sapiens
HUMAN|HGNC=11960|UniProtKB=Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2;GIGYF2;PTN002494668;orthologs,GRB10-INTERACTING GYF PROTEIN 2 (PTHR14445:SF38),,Homo sapiens
HUMAN|HGNC=21285|UniProtKB=Q96PN6,ADCY10,Adenylate cyclase type 10;ADCY10;PTN002497375;orthologs,ADENYLATE CYCLASE TYPE 10 (PTHR16305:SF32),,Homo sapiens
HUMAN|HGNC=6511|UniProtKB=O95461,LARGE1,Xylosyl- and glucuronyltransferase LARGE1;LARGE1;PTN002487097;orthologs,XYLOSYL- AND GLUCURONYLTRANSFERASE LARGE1 (PTHR12270:SF48),glycosyltransferase(PC00111),Homo sapiens
HUMAN|HGNC=3688|UniProtKB=P11362,FGFR1,Fibroblast growth factor receptor 1;FGFR1;PTN002521281;orthologs,FIBROBLAST GROWTH FACTOR RECEPTOR 1 (PTHR24416:SF131),transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=8029|UniProtKB=O95631,NTN1,Netrin-1;NTN1;PTN002471715;orthologs,NETRIN-1-RELATED (PTHR11636:SF84),homeodomain transcription factor(PC00119),Homo sapiens
HUMAN|HGNC=99|UniProtKB=Q16515,ASIC2,Acid-sensing ion channel 2;ASIC2;PTN002481905;orthologs,ACID-SENSING ION CHANNEL 2 (PTHR11690:SF128),ion channel(PC00133),Homo sapiens
HUMAN|HGNC=6893|UniProtKB=P10636,MAPT,Microtubule-associated protein tau;MAPT;PTN002479589;orthologs,MICROTUBULE-ASSOCIATED PROTEIN TAU (PTHR11501:SF14),non-motor microtubule binding protein(PC00166),Homo sapiens
HUMAN|HGNC=10068|UniProtKB=Q99942,RNF5,E3 ubiquitin-protein ligase RNF5;RNF5;PTN002487453;orthologs,E3 UBIQUITIN-PROTEIN LIGASE RNF5 (PTHR12313:SF4),ubiquitin-protein ligase(PC00234),Homo sapiens
HUMAN|HGNC=3023|UniProtKB=P14416,DRD2,D(2) dopamine receptor;DRD2;PTN002517616;orthologs,D(2) DOPAMINE RECEPTOR (PTHR24248:SF87),G-protein coupled receptor(PC00021),Homo sapiens
HUMAN|HGNC=4576|UniProtKB=O43424,GRID2,"Glutamate receptor ionotropic, delta-2;GRID2;PTN002498660;orthologs","GLUTAMATE RECEPTOR IONOTROPIC, DELTA-2 (PTHR18966:SF109)",transmembrane signal receptor(PC00197),Homo sapiens
HUMAN|HGNC=21237|UniProtKB=Q9BRT2,UQCC2,Ubiquinol-cytochrome-c reductase complex assembly factor 2;UQCC2;PTN002531666;orthologs,UBIQUINOL-CYTOCHROME-C REDUCTASE COMPLEX ASSEMBLY FACTOR 2 (PTHR34260:SF1),chaperone(PC00072),Homo sapiens
HUMAN|HGNC=17717|UniProtKB=Q9UEW8,STK39,STE20_SPS1-related proline-alanine-rich protein kinase;STK39;PTN002519663;orthologs,STE20_SPS1-RELATED PROLINE-ALANINE-RICH PROTEIN KINASE (PTHR48012:SF14),non-receptor serine/threonine protein kinase(PC00167),Homo sapiens
HUMAN|HGNC=25996|UniProtKB=Q6P6C2,ALKBH5,RNA demethylase ALKBH5;ALKBH5;PTN002528822;orthologs,RNA DEMETHYLASE ALKBH5 (PTHR32074:SF2),RNA processing factor(PC00147),Homo sapiens
HUMAN|HGNC=7880|UniProtKB=O95628,CNOT4,CCR4-NOT transcription complex subunit 4;CNOT4;PTN002489008;orthologs,CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 4 (PTHR12603:SF0),ubiquitin-protein ligase(PC00234),Homo sapiens
HUMAN|HGNC=253|UniProtKB=P11766,ADH5,Alcohol dehydrogenase class-3;ADH5;PTN002536715;orthologs,ALCOHOL DEHYDROGENASE CLASS-3 (PTHR43880:SF4),dehydrogenase(PC00092),Homo sapiens
HUMAN|HGNC=15789|UniProtKB=P53582,METAP1,Methionine aminopeptidase 1;METAP1;PTN002535200;orthologs,METHIONINE AMINOPEPTIDASE 1 (PTHR43330:SF7),metalloprotease(PC00153),Homo sapiens
HUMAN|HGNC=33753|UniProtKB=Q2T9L4,INSYN1,Inhibitory synaptic factor 1;INSYN1;PTN002496748;orthologs,INHIBITORY SYNAPTIC FACTOR 1 (PTHR15917:SF3),,Homo sapiens
HUMAN|HGNC=24636|UniProtKB=Q9UHB6,LIMA1,LIM domain and actin-binding protein 1;LIMA1;PTN002516793;orthologs,LIM DOMAIN AND ACTIN-BINDING PROTEIN 1 (PTHR24206:SF57),actin or actin-binding cytoskeletal protein(PC00041),Homo sapiens
HUMAN|HGNC=20061|UniProtKB=Q9P2H5,USP34,Ubiquitin carboxyl-terminal hydrolase 35;USP35;PTN002543961;orthologs,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 35 (PTHR24006:SF660),cysteine protease(PC00081),Homo sapiens
HUMAN|HGNC=28993|UniProtKB=Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1;PIEZO1;PTN002491041;orthologs,PIEZO-TYPE MECHANOSENSITIVE ION CHANNEL COMPONENT 1 (PTHR13167:SF40),,Homo sapiens
HUMAN|HGNC=10548|UniProtKB=P54253,ATXN1,Ataxin-1;ATXN1;PTN002491539;orthologs,ATAXIN-1 (PTHR13392:SF5),,Homo sapiens
HUMAN|HGNC=252|UniProtKB=P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4;ADH4;PTN002536714;orthologs,ALL-TRANS-RETINOL DEHYDROGENASE [NAD(+)] ADH4 (PTHR43880:SF14),dehydrogenase(PC00092),Homo sapiens
HUMAN|HGNC=17512|UniProtKB=Q86YM7,HOMER1,Homer protein homolog 1;HOMER1;PTN002475049;orthologs,HOMER PROTEIN HOMOLOG 1 (PTHR10918:SF3),,Homo sapiens
HUMAN|HGNC=18124|UniProtKB=Q9H244,P2RY12,P2Y purinoceptor 12;P2RY12;PTN002517375;orthologs,P2Y PURINOCEPTOR 12 (PTHR24233:SF0),G-protein coupled receptor(PC00021),Homo sapiens
HUMAN|HGNC=6259|UniProtKB=O60928,KCNJ13,Inward rectifier potassium channel 13;KCNJ13;PTN002482916;orthologs,INWARD RECTIFIER POTASSIUM CHANNEL 13 (PTHR11767:SF3),ion channel(PC00133),Homo sapiens
HUMAN|HGNC=13943|UniProtKB=Q99946,PRRT1,Proline-rich transmembrane protein 1;PRRT1;PTN002495226;orthologs,PROLINE-RICH TRANSMEMBRANE PROTEIN 1 (PTHR14948:SF21),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=8143|UniProtKB=Q14982,OPCML,Opioid-binding protein_cell adhesion molecule;OPCML;PTN002533635;orthologs,OPIOID-BINDING PROTEIN_CELL ADHESION MOLECULE (PTHR42757:SF17),immunoglobulin(PC00123),Homo sapiens
HUMAN|HGNC=4066|UniProtKB=Q13480,GAB1,GRB2-associated-binding protein 1;GAB1;PTN002486493;orthologs,GRB2-ASSOCIATED-BINDING PROTEIN 1 (PTHR45960:SF5),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=1463|UniProtKB=Q13555,CAMK2G,Calcium_calmodulin-dependent protein kinase type II subunit gamma;CAMK2G;PTN002539359;orthologs,CALCIUM_CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA (PTHR24347:SF398),non-receptor serine/threonine protein kinase(PC00167),Homo sapiens
HUMAN|HGNC=6705|UniProtKB=Q13449,LSAMP,Limbic system-associated membrane protein;LSAMP;PTN002533631;orthologs,LIMBIC SYSTEM-ASSOCIATED MEMBRANE PROTEIN (PTHR42757:SF22),immunoglobulin(PC00123),Homo sapiens
HUMAN|HGNC=251|UniProtKB=P00326,ADH1C,Alcohol dehydrogenase 1C;ADH1C;PTN002536710;orthologs,ALCOHOL DEHYDROGENASE 1C (PTHR43880:SF57),dehydrogenase(PC00092),Homo sapiens
HUMAN|HGNC=19966|UniProtKB=Q9P2D8,UNC79,Protein unc-79 homolog;UNC79;PTN002502736;orthologs,PROTEIN UNC-79 HOMOLOG (PTHR21696:SF2),,Homo sapiens
HUMAN|HGNC=8569|UniProtKB=P29122,PCSK6,Proprotein convertase subtilisin_kexin type 6;PCSK6;PTN002533945;orthologs,PROPROTEIN CONVERTASE SUBTILISIN_KEXIN TYPE 6 (PTHR42884:SF8),serine protease(PC00203),Homo sapiens
HUMAN|HGNC=9358|UniProtKB=P48147,PREP,Prolyl endopeptidase;PREP;PTN002533935;orthologs,PROLYL ENDOPEPTIDASE (PTHR42881:SF2),serine protease(PC00203),Homo sapiens
HUMAN|HGNC=3338|UniProtKB=Q14247,CTTN,Src substrate cortactin;CTTN;PTN002474318;orthologs,HEMATOPOIETIC LINEAGE CELL-SPECIFIC PROTEIN-RELATED (PTHR45929:SF1),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=8607|UniProtKB=O60260,PRKN,E3 ubiquitin-protein ligase parkin;PRKN;PTN002481809;orthologs,E3 UBIQUITIN-PROTEIN LIGASE PARKIN (PTHR11685:SF448),ubiquitin-protein ligase(PC00234),Homo sapiens
HUMAN|HGNC=9404|UniProtKB=P41743,PRKCI,Protein kinase C iota type;PRKCI;PTN002519422;orthologs,PROTEIN KINASE C IOTA TYPE (PTHR24356:SF214),non-receptor serine/threonine protein kinase(PC00167),Homo sapiens
HUMAN|HGNC=13818|UniProtKB=Q9H2X9,SLC12A5,Solute carrier family 12 member 5;SLC12A5;PTN002483556;orthologs,SOLUTE CARRIER FAMILY 12 MEMBER 5 (PTHR11827:SF54),secondary carrier transporter(PC00258),Homo sapiens
HUMAN|HGNC=8009|UniProtKB=Q9P2S2,NRXN2,Neurexin-2;NRXN2;PTN002546086;orthologs,NEUREXIN-2 (PTHR15036:SF52),cell adhesion molecule(PC00069),Homo sapiens
HUMAN|HGNC=2174|UniProtKB=Q8IWV2,CNTN4,Contactin-4;CNTN4;PTN002537676;orthologs,CONTACTIN-4 (PTHR10075:SF63),scaffold/adaptor protein(PC00226),Homo sapiens
HUMAN|HGNC=16804|UniProtKB=O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2;WWP2;PTN002477536;orthologs,NEDD4-LIKE E3 UBIQUITIN-PROTEIN LIGASE WWP2 (PTHR11254:SF396),ubiquitin-protein ligase(PC00234),Homo sapiens
